,class
406,b'1'
1934,b'0'
2272,b'0'
2160,b'0'
1923,b'0'
1094,b'0'
1832,b'0'
1692,b'0'
331,b'0'
2287,b'0'
2531,b'0'
1970,b'0'
358,b'0'
1766,b'0'
1235,b'0'
2403,b'0'
672,b'0'
2502,b'0'
319,b'0'
1317,b'0'
1187,b'0'
1206,b'1'
794,b'0'
2462,b'0'
1382,b'0'
1230,b'0'
1442,b'0'
639,b'1'
100,b'0'
1318,b'0'
1126,b'0'
1999,b'0'
522,b'0'
458,b'0'
241,b'0'
1729,b'0'
2550,b'0'
774,b'0'
213,b'0'
1667,b'0'
821,b'0'
1185,b'0'
2560,b'0'
2285,b'0'
803,b'0'
691,b'1'
1081,b'0'
1265,b'0'
1955,b'0'
1314,b'0'
2305,b'0'
280,b'0'
1257,b'0'
2434,b'0'
1890,b'0'
998,b'0'
1685,b'0'
2366,b'0'
1201,b'0'
633,b'0'
2436,b'0'
2427,b'0'
723,b'0'
2335,b'0'
2112,b'0'
568,b'0'
270,b'0'
256,b'1'
1853,b'0'
1488,b'0'
346,b'0'
2408,b'0'
764,b'0'
1128,b'0'
1032,b'0'
1866,b'0'
328,b'0'
1367,b'0'
2460,b'0'
2390,b'0'
611,b'0'
1702,b'1'
2320,b'0'
1177,b'0'
412,b'0'
591,b'0'
62,b'0'
949,b'0'
660,b'0'
132,b'0'
1260,b'0'
971,b'0'
322,b'1'
1943,b'0'
799,b'0'
481,b'0'
1075,b'0'
1219,b'0'
27,b'0'
953,b'0'
244,b'0'
89,b'0'
452,b'1'
1006,b'0'
53,b'0'
1991,b'0'
2477,b'0'
508,b'0'
2034,b'0'
50,b'0'
460,b'0'
2549,b'0'
487,b'0'
1739,b'1'
847,b'0'
86,b'0'
15,b'0'
1761,b'1'
2188,b'0'
1477,b'0'
2156,b'0'
788,b'0'
345,b'0'
2489,b'0'
1458,b'0'
2005,b'0'
2033,b'0'
2223,b'0'
2582,b'0'
1672,b'1'
279,b'1'
75,b'0'
2310,b'1'
896,b'0'
34,b'0'
1136,b'0'
1850,b'0'
705,b'0'
1278,b'0'
1944,b'0'
313,b'0'
1106,b'0'
197,b'0'
852,b'0'
2118,b'0'
978,b'0'
217,b'0'
2473,b'0'
695,b'1'
1613,b'0'
2561,b'0'
1871,b'0'
781,b'0'
1140,b'0'
2191,b'0'
1682,b'0'
1359,b'0'
1736,b'0'
919,b'0'
1149,b'0'
439,b'0'
1031,b'0'
607,b'1'
2380,b'0'
1784,b'0'
923,b'0'
1506,b'0'
874,b'0'
335,b'0'
1597,b'0'
338,b'0'
1449,b'0'
1622,b'0'
1824,b'0'
746,b'0'
1548,b'1'
1725,b'0'
1099,b'0'
970,b'0'
775,b'0'
268,b'0'
2532,b'0'
2091,b'0'
918,b'0'
2123,b'0'
124,b'0'
1731,b'1'
288,b'0'
2103,b'0'
1771,b'0'
2142,b'0'
2493,b'0'
2261,b'0'
1921,b'0'
1223,b'0'
1643,b'0'
795,b'0'
2405,b'0'
1440,b'0'
2085,b'0'
780,b'0'
1331,b'0'
357,b'0'
356,b'1'
471,b'1'
946,b'0'
380,b'1'
1209,b'0'
885,b'0'
1275,b'0'
1303,b'0'
958,b'0'
1248,b'0'
2438,b'0'
1453,b'0'
1036,b'0'
1808,b'0'
659,b'0'
1308,b'0'
1358,b'0'
1973,b'0'
60,b'0'
983,b'0'
638,b'0'
623,b'0'
1330,b'0'
1320,b'0'
739,b'0'
2443,b'0'
1247,b'0'
2409,b'0'
314,b'0'
901,b'0'
2182,b'0'
986,b'0'
1023,b'0'
366,b'0'
273,b'1'
851,b'0'
1039,b'0'
413,b'1'
2044,b'0'
175,b'1'
97,b'0'
565,b'1'
570,b'0'
678,b'0'
820,b'0'
1151,b'0'
1640,b'0'
417,b'0'
1854,b'0'
807,b'0'
2469,b'0'
1457,b'0'
77,b'0'
1861,b'0'
2168,b'0'
139,b'0'
921,b'0'
1668,b'1'
1623,b'0'
1420,b'0'
2497,b'0'
2317,b'0'
1249,b'0'
521,b'0'
2498,b'0'
1186,b'0'
1883,b'0'
1755,b'0'
410,b'1'
706,b'0'
2164,b'0'
1779,b'0'
2113,b'0'
1915,b'0'
598,b'0'
199,b'0'
333,b'0'
1019,b'0'
683,b'0'
2099,b'0'
1764,b'0'
1439,b'0'
1888,b'0'
1514,b'0'
137,b'0'
1421,b'0'
1417,b'0'
1162,b'0'
1256,b'0'
1070,b'0'
2020,b'0'
945,b'0'
2378,b'0'
347,b'0'
635,b'0'
107,b'0'
1874,b'0'
930,b'0'
682,b'0'
2051,b'0'
189,b'0'
1182,b'0'
2177,b'0'
6,b'0'
1591,b'0'
96,b'0'
476,b'0'
1994,b'0'
2075,b'0'
2084,b'0'
2523,b'0'
2345,b'0'
228,b'0'
2256,b'0'
166,b'0'
830,b'0'
1333,b'0'
258,b'1'
1465,b'0'
2425,b'0'
767,b'0'
296,b'1'
2202,b'0'
902,b'0'
1657,b'0'
766,b'0'
1067,b'0'
492,b'0'
59,b'0'
2313,b'0'
991,b'0'
969,b'0'
553,b'1'
1369,b'0'
95,b'0'
2491,b'0'
364,b'0'
2023,b'0'
2432,b'0'
1912,b'0'
1947,b'0'
2064,b'0'
25,b'0'
449,b'0'
1497,b'0'
1566,b'0'
416,b'0'
997,b'0'
41,b'0'
2184,b'0'
1837,b'0'
757,b'0'
1168,b'0'
772,b'0'
1409,b'0'
1355,b'0'
1688,b'0'
636,b'0'
1902,b'0'
1586,b'0'
1104,b'0'
272,b'0'
450,b'0'
1464,b'0'
862,b'0'
1641,b'0'
1895,b'0'
2471,b'0'
236,b'0'
1017,b'0'
1828,b'0'
976,b'0'
2273,b'0'
1174,b'0'
872,b'0'
837,b'0'
1079,b'0'
1690,b'1'
832,b'0'
676,b'0'
486,b'0'
1211,b'0'
1821,b'0'
1795,b'0'
1632,b'0'
1323,b'0'
661,b'0'
2341,b'0'
1757,b'0'
1707,b'0'
1848,b'0'
274,b'1'
1896,b'0'
2257,b'0'
762,b'0'
2192,b'0'
171,b'0'
968,b'0'
1155,b'0'
1306,b'0'
502,b'1'
1064,b'0'
2240,b'0'
1396,b'0'
2101,b'0'
2383,b'0'
627,b'0'
727,b'0'
981,b'0'
1817,b'0'
869,b'0'
1374,b'0'
429,b'0'
20,b'0'
608,b'0'
1105,b'0'
298,b'0'
488,b'0'
2424,b'0'
2217,b'0'
2367,b'0'
283,b'1'
2193,b'0'
232,b'0'
2442,b'0'
7,b'0'
1496,b'0'
1875,b'0'
845,b'0'
2303,b'0'
2393,b'0'
1550,b'0'
187,b'0'
870,b'0'
884,b'0'
711,b'0'
687,b'0'
2494,b'0'
2472,b'0'
1535,b'0'
45,b'0'
1262,b'0'
1150,b'0'
1139,b'0'
26,b'0'
877,b'0'
1240,b'0'
113,b'0'
254,b'0'
665,b'0'
2327,b'0'
2500,b'0'
1562,b'0'
1194,b'0'
248,b'0'
1984,b'1'
99,b'0'
1167,b'0'
2326,b'0'
284,b'1'
1078,b'0'
2254,b'0'
1723,b'1'
291,b'0'
2576,b'0'
588,b'0'
893,b'0'
1534,b'0'
1349,b'0'
1936,b'0'
1542,b'0'
98,b'0'
2564,b'0'
624,b'0'
419,b'0'
57,b'0'
2562,b'0'
105,b'0'
2508,b'0'
1268,b'0'
1993,b'0'
1799,b'0'
2154,b'1'
2499,b'0'
287,b'0'
2130,b'0'
262,b'1'
1215,b'0'
1932,b'0'
456,b'0'
564,b'0'
1389,b'0'
1870,b'0'
153,b'0'
1178,b'0'
146,b'0'
134,b'0'
2227,b'0'
850,b'0'
1166,b'0'
1539,b'0'
1583,b'0'
1859,b'0'
812,b'0'
1391,b'0'
1624,b'0'
2364,b'0'
658,b'0'
630,b'0'
2038,b'0'
854,b'0'
1263,b'0'
318,b'1'
368,b'0'
891,b'0'
1088,b'0'
1670,b'0'
2073,b'0'
1379,b'0'
1968,b'0'
1637,b'0'
1170,b'0'
1380,b'0'
758,b'0'
1974,b'0'
755,b'0'
70,b'0'
938,b'0'
2211,b'0'
834,b'0'
790,b'0'
749,b'0'
82,b'0'
584,b'0'
55,b'0'
243,b'0'
1,b'0'
2454,b'0'
1860,b'0'
666,b'0'
1035,b'0'
833,b'0'
778,b'0'
1505,b'0'
1360,b'0'
2216,b'0'
1237,b'0'
69,b'0'
144,b'0'
1044,b'0'
1880,b'0'
1648,b'0'
1113,b'0'
1214,b'0'
578,b'0'
1567,b'0'
2109,b'0'
895,b'0'
1091,b'0'
1701,b'0'
1253,b'0'
1016,b'0'
1134,b'0'
1887,b'0'
2100,b'0'
2076,b'0'
917,b'0'
1337,b'0'
2281,b'0'
2221,b'0'
2431,b'0'
2083,b'0'
2014,b'0'
622,b'0'
915,b'0'
1028,b'0'
933,b'0'
407,b'0'
735,b'0'
2024,b'0'
2235,b'0'
1410,b'0'
2581,b'0'
770,b'0'
1321,b'0'
2482,b'0'
148,b'0'
157,b'0'
1953,b'0'
904,b'0'
610,b'0'
1727,b'0'
2496,b'0'
1397,b'0'
1346,b'0'
462,b'0'
1512,b'0'
2198,b'0'
2537,b'0'
1604,b'0'
1179,b'0'
996,b'0'
235,b'0'
784,b'0'
2208,b'1'
2418,b'0'
1956,b'0'
2355,b'0'
786,b'0'
657,b'0'
1717,b'0'
600,b'0'
72,b'0'
226,b'0'
2200,b'0'
1061,b'0'
1654,b'0'
1047,b'0'
1503,b'0'
343,b'1'
1074,b'0'
2008,b'0'
1376,b'0'
1176,b'0'
899,b'0'
2059,b'0'
1352,b'0'
962,b'0'
1777,b'0'
1147,b'0'
370,b'0'
200,b'0'
1553,b'0'
1820,b'0'
1728,b'0'
2022,b'0'
2190,b'0'
2356,b'0'
1284,b'0'
385,b'1'
1671,b'0'
1156,b'0'
601,b'0'
696,b'1'
1872,b'0'
1749,b'0'
697,b'0'
307,b'0'
73,b'0'
2053,b'0'
1344,b'0'
1920,b'0'
1504,b'0'
2308,b'0'
881,b'0'
1404,b'0'
1101,b'0'
2213,b'0'
24,b'0'
207,b'0'
1274,b'0'
2331,b'0'
1878,b'0'
1266,b'0'
2484,b'0'
2444,b'0'
1844,b'0'
737,b'0'
2447,b'1'
2119,b'0'
2032,b'0'
2369,b'0'
344,b'0'
250,b'1'
943,b'0'
448,b'0'
1486,b'1'
1005,b'0'
2060,b'0'
1289,b'0'
514,b'0'
1281,b'0'
797,b'0'
247,b'0'
1845,b'0'
924,b'0'
1538,b'0'
317,b'0'
2293,b'0'
798,b'0'
1549,b'0'
1057,b'0'
447,b'1'
796,b'0'
2417,b'0'
375,b'0'
1198,b'0'
1493,b'0'
108,b'0'
102,b'0'
2315,b'0'
1599,b'0'
1193,b'0'
1851,b'0'
188,b'0'
1316,b'0'
1222,b'0'
2529,b'0'
309,b'0'
839,b'0'
621,b'0'
1419,b'0'
360,b'0'
836,b'0'
1579,b'0'
973,b'0'
1598,b'0'
342,b'0'
165,b'0'
883,b'0'
65,b'0'
1325,b'0'
1843,b'0'
1093,b'0'
540,b'0'
1704,b'0'
828,b'0'
868,b'0'
1487,b'0'
2538,b'0'
195,b'0'
2170,b'0'
1789,b'0'
2449,b'0'
1533,b'0'
1287,b'0'
1537,b'0'
93,b'0'
1096,b'0'
2337,b'0'
583,b'0'
2388,b'0'
2065,b'0'
518,b'0'
1508,b'0'
1681,b'0'
1791,b'0'
1919,b'0'
1138,b'0'
2412,b'0'
435,b'0'
2540,b'0'
500,b'0'
297,b'0'
2027,b'0'
818,b'0'
1523,b'0'
2288,b'0'
1730,b'0'
1476,b'0'
116,b'0'
1210,b'0'
2090,b'0'
1203,b'0'
2230,b'0'
178,b'0'
1555,b'0'
315,b'1'
1148,b'0'
1142,b'0'
2268,b'0'
1403,b'0'
1119,b'0'
2359,b'0'
1072,b'0'
2397,b'0'
1975,b'0'
2583,b'0'
1516,b'0'
425,b'0'
71,b'0'
1430,b'0'
2260,b'1'
2129,b'0'
2277,b'0'
1962,b'1'
1610,b'0'
736,b'0'
1665,b'0'
119,b'0'
363,b'1'
1938,b'0'
1762,b'0'
838,b'0'
1804,b'0'
1573,b'0'
2025,b'0'
9,b'0'
440,b'0'
1029,b'0'
1411,b'0'
1652,b'0'
336,b'1'
2048,b'0'
1971,b'0'
446,b'0'
1565,b'0'
1699,b'0'
289,b'0'
110,b'0'
987,b'0'
350,b'1'
1468,b'0'
1865,b'0'
2264,b'0'
2013,b'0'
1561,b'0'
122,b'0'
398,b'0'
782,b'0'
1227,b'0'
1402,b'0'
1469,b'0'
285,b'1'
1129,b'0'
2506,b'0'
2446,b'0'
1334,b'0'
956,b'0'
2379,b'0'
718,b'0'
2167,b'0'
405,b'0'
1964,b'0'
312,b'0'
2396,b'0'
805,b'0'
2224,b'0'
83,b'0'
372,b'0'
654,b'1'
1097,b'0'
1259,b'0'
2204,b'0'
485,b'0'
457,b'0'
2299,b'0'
592,b'0'
2062,b'0'
1384,b'0'
426,b'0'
1438,b'0'
656,b'0'
806,b'0'
2558,b'0'
2413,b'0'
37,b'0'
1806,b'0'
2222,b'0'
361,b'0'
473,b'0'
580,b'0'
2282,b'0'
935,b'0'
2525,b'0'
2358,b'0'
2238,b'0'
2504,b'0'
330,b'0'
905,b'0'
519,b'0'
814,b'0'
960,b'0'
311,b'0'
282,b'0'
585,b'0'
1904,b'0'
1893,b'0'
977,b'0'
2338,b'0'
2173,b'0'
1909,b'0'
453,b'0'
465,b'0'
403,b'1'
2247,b'0'
2194,b'0'
377,b'0'
129,b'0'
1145,b'0'
2401,b'1'
2422,b'0'
1580,b'0'
2475,b'0'
554,b'1'
35,b'1'
1644,b'0'
2291,b'1'
383,b'1'
300,b'0'
2577,b'0'
1732,b'0'
700,b'1'
2121,b'0'
906,b'0'
632,b'1'
897,b'0'
1614,b'0'
1980,b'0'
2545,b'0'
819,b'0'
596,b'1'
408,b'0'
64,b'0'
1543,b'0'
2215,b'0'
1472,b'0'
496,b'0'
1558,b'0'
68,b'0'
1118,b'0'
1121,b'0'
125,b'0'
1557,b'0'
1684,b'0'
1780,b'0'
644,b'0'
2289,b'0'
662,b'0'
1098,b'0'
544,b'0'
1781,b'0'
948,b'0'
936,b'0'
629,b'0'
2362,b'0'
304,b'1'
1901,b'0'
431,b'0'
2180,b'0'
1436,b'0'
1785,b'1'
44,b'0'
271,b'0'
2294,b'0'
1484,b'0'
115,b'0'
395,b'0'
2307,b'0'
79,b'0'
1297,b'0'
1015,b'0'
1778,b'0'
1697,b'0'
729,b'0'
2346,b'0'
1432,b'0'
950,b'0'
2061,b'0'
898,b'0'
1326,b'0'
754,b'0'
106,b'0'
1371,b'0'
1024,b'0'
2120,b'0'
2228,b'0'
974,b'0'
813,b'0'
808,b'0'
2265,b'0'
2125,b'0'
989,b'0'
652,b'1'
1291,b'0'
2375,b'0'
424,b'1'
1807,b'0'
2298,b'0'
750,b'0'
2248,b'0'
1058,b'0'
1455,b'0'
1157,b'0'
2435,b'0'
1143,b'0'
1267,b'0'
1095,b'0'
1693,b'0'
2144,b'0'
1570,b'0'
1747,b'0'
916,b'0'
2110,b'0'
726,b'0'
1738,b'0'
824,b'0'
334,b'1'
741,b'0'
689,b'0'
2406,b'0'
573,b'0'
1658,b'0'
1184,b'0'
1123,b'0'
1008,b'0'
927,b'0'
1491,b'0'
1972,b'0'
2296,b'0'
1183,b'0'
2007,b'0'
550,b'0'
538,b'0'
2311,b'0'
374,b'0'
1952,b'1'
1696,b'0'
1050,b'0'
351,b'1'
193,b'0'
2455,b'0'
1283,b'0'
2036,b'0'
145,b'0'
1261,b'0'
1273,b'0'
2423,b'0'
1990,b'0'
1269,b'0'
2387,b'0'
349,b'0'
1161,b'0'
2572,b'0'
2312,b'0'
205,b'0'
1531,b'0'
1428,b'0'
841,b'0'
811,b'0'
2046,b'0'
1243,b'0'
1881,b'0'
1752,b'0'
980,b'0'
1927,b'0'
31,b'0'
642,b'0'
2259,b'0'
530,b'0'
2386,b'0'
1733,b'0'
1437,b'0'
1884,b'0'
468,b'0'
866,b'0'
451,b'0'
1197,b'0'
1040,b'0'
1251,b'0'
484,b'0'
2510,b'0'
569,b'1'
2239,b'0'
1414,b'0'
181,b'0'
1607,b'0'
1937,b'0'
1356,b'0'
2556,b'0'
1200,b'0'
903,b'0'
2445,b'0'
575,b'0'
963,b'0'
1768,b'0'
184,b'0'
1674,b'0'
160,b'1'
653,b'0'
2575,b'0'
1025,b'0'
1501,b'0'
1802,b'0'
641,b'0'
2569,b'0'
230,b'0'
2098,b'0'
1877,b'0'
2041,b'0'
1001,b'0'
1608,b'0'
2136,b'0'
959,b'0'
208,b'0'
1982,b'0'
329,b'1'
2243,b'0'
1812,b'0'
932,b'0'
2004,b'0'
2127,b'0'
908,b'1'
1347,b'0'
594,b'0'
1758,b'0'
295,b'1'
1454,b'0'
482,b'0'
863,b'0'
14,b'0'
1362,b'0'
712,b'1'
90,b'0'
348,b'1'
168,b'0'
1995,b'0'
1431,b'0'
1107,b'0'
1858,b'0'
1546,b'0'
382,b'0'
340,b'1'
1511,b'0'
1524,b'0'
2003,b'0'
2035,b'0'
444,b'1'
1042,b'0'
1282,b'0'
1236,b'0'
1721,b'0'
1839,b'0'
715,b'1'
1695,b'0'
1452,b'0'
1575,b'0'
631,b'0'
693,b'0'
2533,b'0'
1940,b'0'
1154,b'0'
2219,b'0'
1213,b'0'
497,b'0'
2371,b'0'
1173,b'0'
1510,b'0'
1181,b'0'
233,b'0'
1290,b'0'
1507,b'0'
1588,b'0'
1545,b'0'
1715,b'0'
1447,b'0'
130,b'0'
907,b'0'
1863,b'0'
1794,b'0'
1467,b'0'
161,b'0'
2512,b'1'
36,b'0'
1650,b'0'
515,b'0'
2128,b'0'
967,b'0'
1609,b'0'
2519,b'0'
1748,b'0'
1746,b'0'
822,b'0'
539,b'0'
1037,b'0'
2214,b'0'
179,b'0'
49,b'0'
1340,b'0'
745,b'0'
1683,b'0'
1190,b'0'
801,b'1'
2229,b'1'
1125,b'0'
422,b'1'
220,b'0'
224,b'0'
2411,b'0'
1689,b'0'
1405,b'0'
1481,b'0'
1577,b'0'
1489,b'0'
2234,b'0'
1593,b'0'
1239,b'0'
1576,b'0'
961,b'0'
1829,b'0'
2015,b'0'
202,b'1'
1195,b'0'
1776,b'0'
2534,b'0'
853,b'0'
2476,b'0'
1483,b'0'
2126,b'0'
988,b'0'
1816,b'0'
1427,b'0'
1254,b'0'
163,b'0'
1726,b'0'
880,b'0'
1629,b'0'
2155,b'0'
1988,b'0'
1474,b'0'
2353,b'0'
2286,b'0'
835,b'0'
1669,b'0'
2143,b'0'
1857,b'0'
649,b'1'
1205,b'0'
30,b'0'
849,b'0'
2483,b'0'
2457,b'0'
688,b'0'
1584,b'0'
46,b'0'
2152,b'0'
929,b'0'
926,b'0'
1480,b'0'
769,b'0'
1246,b'0'
2314,b'0'
1444,b'0'
23,b'0'
603,b'0'
1398,b'0'
651,b'0'
1540,b'0'
2070,b'0'
1792,b'0'
51,b'0'
2161,b'0'
433,b'1'
2319,b'0'
543,b'0'
2349,b'0'
1907,b'0'
2186,b'0'
913,b'0'
1353,b'0'
545,b'0'
1368,b'0'
499,b'0'
1400,b'0'
1906,b'0'
2527,b'0'
776,b'0'
2530,b'0'
1485,b'0'
1790,b'0'
436,b'0'
1710,b'0'
677,b'0'
581,b'0'
2252,b'0'
1922,b'0'
1966,b'0'
1307,b'0'
2111,b'0'
321,b'0'
1033,b'0'
1463,b'0'
2309,b'0'
265,b'0'
602,b'0'
771,b'0'
1842,b'0'
2158,b'0'
1375,b'0'
2554,b'0'
277,b'1'
2195,b'0'
120,b'0'
990,b'0'
204,b'0'
704,b'0'
1515,b'0'
1133,b'0'
2104,b'0'
1238,b'0'
699,b'0'
1030,b'0'
1117,b'0'
1100,b'0'
325,b'0'
1827,b'0'
2395,b'0'
714,b'0'
2056,b'0'
1288,b'0'
2081,b'0'
1242,b'0'
848,b'0'
1518,b'0'
2565,b'0'
1342,b'0'
2253,b'0'
1744,b'0'
1490,b'0'
541,b'0'
1897,b'0'
1441,b'0'
1191,b'0'
1873,b'0'
1365,b'0'
2507,b'0'
2481,b'0'
2275,b'0'
940,b'0'
1913,b'0'
221,b'0'
1393,b'0'
1647,b'0'
1252,b'0'
1656,b'0'
1276,b'0'
1633,b'0'
1077,b'0'
2176,b'0'
2092,b'0'
266,b'1'
875,b'0'
479,b'0'
1466,b'0'
2178,b'0'
2147,b'0'
239,b'0'
494,b'0'
1309,b'0'
2373,b'0'
1479,b'0'
1750,b'0'
2563,b'0'
10,b'0'
141,b'0'
1456,b'0'
2370,b'0'
445,b'1'
1954,b'0'
1513,b'0'
74,b'0'
293,b'0'
888,b'0'
1810,b'0'
355,b'0'
858,b'0'
524,b'0'
1335,b'0'
2350,b'0'
1635,b'0'
2251,b'0'
2095,b'0'
2175,b'0'
1838,b'1'
2559,b'0'
604,b'0'
354,b'0'
643,b'0'
1062,b'0'
534,b'1'
685,b'0'
725,b'0'
2470,b'0'
